label    A
0    되도록 만나지 마세요
0    당신이요
0    당신의 운을 믿어보세요
0    일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠
0    밥 사줄 친구를 찾아 보세요~
0    선의의 거짓말이길 바라요
0    거짓말은 할수록 늘어요
0    거짓말은 할수록 늘어요
0    진실된 말을 하려고 노력해보세요
0    누구나 걱정은 있어요
0    누구나 걱정은 있어요
0    운동을 해보세요
0    세상의 무엇보다 건강이 제일 중요해요
0    주기적으로 해주는 게 좋죠
0    주기적으로 해주는 게 좋죠
0    가장 중요한 목표네요
0    가장 중요한 목표네요
0    적게 먹고 많이 움직이세요
0    적게 먹고 많이 움직이세요
0    모르는 사이라 당황할 수도 있어요
0    이룰 수 있을 거예요
0    이룰 수 있을 거예요
0    기분이 나쁘셨나봐요
0    있으면 편하대요
0    눈을 깜빡거려 보세요
0    청소를 좋아하시나봐요
0    안전 귀가 하세요
0    용기 내보세요
0    피해를 안 준다면 무시하세요
0    안 될 것도 없죠
0    게임할때는 시간이 더 빨리 가요
0    정리해보세요
0    게임하세요!
0    다른 게임해보세요
0    다른 게임해보세요
0    게임하세요!
0    게임할때는 시간이 더 빨리 가요
0    마음에도 봄이 오길 바라요
0    몸은 뜨겁고 머리는 차갑게!
0    마음에도 봄이 오길 바라요
0    잘하실 거예요!
0    잘하실 거예요!
0    건강 생각해서 챙겨드세요
0    좋은 운명도 있을거예요
0    결정하기 힘드시겠네요
0    자신을 위한 결정을 내리길 바라요
0    자신을 위한 결정을 내리길 바라요
0    결정은 빠르면 빠를수록 좋을 거예요
0    안타깝네요 증거를 지금이라도 모아봐요
0    좋겠어요
0    좋겠어요
0    많이 들지만 줄일 수 있을 거예요
0    경조사는 참석하는게 좋아요
0    경조사는 참석하는게 좋아요
0    생각보다 신경 안 씁니다
0    인맥이 넓으신가봐요
0    힘들겠네요
0    많이 들지만 줄일 수 있을 거예요
0    욕심에 따라 천지 차이일 거예요
0    허례허식이에요
0    욕심에 따라 천지 차이일 거예요
0    해봐요
0    서로 노력하면 행복할 거예요
0    서로 노력하면 행복할 거예요
0    사람마다 행복의 크기가 다르겠지만 행복할 거예요
0    사람마다 행복의 크기가 다르겠지만 행복할 거예요
0    능력이 있으면 하면 되죠
0    능력이 있으면 하면 되죠
0    이사람이다 싶은 사람이랑 하세요
0    해봐요
0    점점 치열해지는 것 같아요
0    확신이 없나봐요
0    안정적인 걸 좋아하나봐요
0    방학은 참 짧아요
0    보러 가세요
0    보러 가세요
0    계속 좋지 않으면 병원에 가보세요
0    타이밍이 안 맞았나봐요
0    이제 취업 하셔야죠
0    뇌세포에 에너지를 공급하려는 자연스러운 현상이에요 에너지가 부족한가봐요
0    공부가 최우선이죠
0    공부가 최우선이죠
0    너무 무리하지는 마세요
0    너무 무리하지는 마세요
0    저기압에는 고기앞이죠
0    저기압에는 고기앞이죠
0    연습이 필요해요
0    연습이 필요해요
0    혼자가 아니에요
0    인복이 많나봐요
0    너무 걱정하지 마세요
0    네 말씀하세요
0    네 말씀하세요
0    후회는 후회를 낳을뿐이에요 용기 내세요
0    돈을 모아서 다른 곳으로 이사갈 수 있을 거예요
0    돈을 모아서 다른 곳으로 이사갈 수 있을 거예요
0    더 좋은 곳에서 살 수 있을 거예요
0    더 좋은 곳에서 살 수 있을 거예요
0    완전 귀엽죠?
0    자신을 먼저 키우세요
0    가족들과 상의해보세요
0    용서를 구하세요
0    피할 수 있으면 피하세요
0    피할 수 있으면 피하세요
0    처음부터 잘하는 사람은 없어요
0    시간내서 가보세요
0    처음부터 잘하는 사람은 없어요
0    시간내서 가보세요
0    미리 미리 충전해주세요
0    미리 미리 충전해주세요
0    안정적이고 좋죠
0    준비해보세요
0    준비해보세요
0    합격 기원해요!
0    철밥통 되기가 어디 쉽겠어요
0    철밥통 되기가 어디 쉽겠어요
0    시작이 반이에요 어서 준비하세요
0    안정적이고 좋죠
0    자연스러운 현상이에요
0    자연스러운 현상이에요
0    보이는 게 없죠
0    지금처럼 잘될 거예요
0    미래의 배우자가 달라져요
0    확신이 없나봐요
0    공부는 언제나 좋죠
0    공부하면 더 많은 선택을 할 수 있죠
0    같이 수다 떨면서 놀까요?
0    나만의 공부방법을 찾아보세요
0    지금도 늦지 않았어요
0    같이 수다 떨면서 놀까요?
0    확신이 없나봐요
0    지금처럼 잘될 거예요
0    나한테 맞는 공부 방법 찾는 게 시급하네요
0    잠시 쉬어도 돼요
0    잠시 쉬어도 돼요
0    공부하면 더 많은 선택을 할 수 있죠
0    공부하면 더 많은 선택을 할 수 있죠
0    공부하면 더 많은 선택을 할 수 있죠
0    합격 기원해요!
0    잘 될 거예요
0    좋은 결과 있을 거예요!
0    잘 될 거예요
0    좋은 결과 있을 거예요!
0    친구와 같이 가보세요
0    친구와 같이 가보세요
0    성향 차이가 좀 있기는 하죠
0    꾸준히 약 먹고 치료해보세요
0    꾸준히 약 먹고 치료해보세요
0    피로 풀고 좋죠
0    피로 풀고 좋죠
0    오늘이 중요하죠
0    오늘이 중요하죠
0    소화제 챙겨드세요
0    과식은 금물이에요
0    소화제 드세요
0    안된다고 하면 거짓말이겠지요
0    안된다고 하면 거짓말이겠지요
0    제철과일이 정말 좋아요
0    건강 생각해서 챙겨드세요
0    그래도 먹으려고 노력해보세요
0    그래도 먹으려고 노력해보세요
0    제철과일이 정말 좋아요
0    인간 관계도 정리가 필요해요
0    무관심이 필요할 때가 있죠
0    무관심이 필요할 때가 있죠
0    계단 조심하세요
0    계단 조심하세요
0    채널을 돌려보세요
0    괜찮아지고 있어 다행이에요
0    남자사람친구여자사람친구 하세요
0    많이 지쳤나봐요
0    누군가를 기다린다는게 쉬운게 아니죠
0    늦지 않았어요
0    그 것도 다 경험이라고 생각하세요
0    그럴 필요 없어요
0    그렇지 않아요
0    마음에 드는 책을 잘 찾아보세요
0    저도 듣고 싶어요
0    같은 조가 되길 바랄게요
0    지식 쌓는 재미가 있죠
0    같은 조가 되길 바랄게요
0    지식 쌓는 재미가 있죠
0    저도 듣고 싶어요
0    학점 관리하세요
0    보험 처리하세요
0    보험 처리하세요
0    왜 그럴까요?
0    좋은 만남이었길 바라요
0    좋은 만남이었길 바라요
0    일을 몰라서 그런가봐요
0    자신의 삶을 살다보면 기다릴 수 있을 거예요
0    부담스러워하지 않는다면 기다려도 좋을 것 같아요
0    부담스러워하지 않는다면 기다려도 좋을 것 같아요
0    너무 걱정하지 마세요
0    자신의 삶을 살다보면 기다릴 수 있을 거예요
0    군대 시계는 멈추지 않아요
0    군대 시계는 멈추지 않아요
0    좋은 아침이에요
0    안 궁금해요
0    안 궁금해요
0    자세히 말씀해주세요
0    자세히 말씀해주세요
0    병원에 가세요
0    누가 욕하고 있나봐요
0    누가 욕하고 있나봐요
0    병원에 가세요
0    생각하기는 쉬운데 실천하기는 어려운 것 같아요
0    슬픈 이야기네요
0    저도 간절히 기도 할게요
0    그렇게 될 수 있을 거예요
0    추억에 잠길 때도 필요해요
0    후회는 후회를 낳을뿐이에요 용기 내세요
0    시작이 반이에요 어서 준비하세요
0    아무도 없는 곳으로 여행을 떠나보세요
0    많이 만나보세요
0    잠깐 바람 쐬고 오세요
0    다른 사람이 답답할 거예요
0    살고 싶은대로 사세요
0    많이 피곤한가봐요
0    피할 수 있으면 피하세요
0    조심히 오세요
0    실천이 말보다 낫죠
0    밥심으로 사는 거죠
0    혼자만 있지 마세요
0    안부를 물어주시다니 감사합니다
0    추억에 잠길 때도 필요해요
0    괜찮은 선택이길 바라요
0    좋은 결과 있을 거예요
0    기쁜 마음으로 베풀고 보답을 바라지 마세요
0    다른 사람 말은 신경쓰지 마세요
0    대인배시군요
0    대인배시군요
0    친구가 좋아하나봐요
0    이야기를 해보세요
0    온전한 이해는 없어요
0    괜찮은 선택이길 바라요
0    학원을 다니거나 연습하면 잘할 수 있을 거예요
0    학원을 다니거나 연습하면 잘할 수 있을 거예요
0    뒷감당 자신 있으면 하세요
0    조금만 드세요
0    당신을 소중하게 생각하세요
0    그런 하루도 감사한 마음을 가져보세요
0    좋은 사람과 함께 가세요
0    저 말씀이신가요?
0    비싸요
0    비싸요
0    호의인지 호감인지 헷갈리나요?
0    뭔가 안풀리는 일이 있나봐요
0    아이를 금수저로 만들어주세요
0    아이를 금수저로 만들어주세요
0    자신을 이겨야해요
0    너무 긴장했나봐요
0    기념일 챙겨주면 좋아할거예요
0    달력에 적어보세요
0    달력에 적어보세요
0    기념일 챙겨주면 좋아할거예요
0    당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다
0    기다리지 마세요
0    상대방의 선택에 맡겨보세요
0    좋은 분이시군요
0    베풀되 보답을 바라지 마세요
0    자신을 사랑할수록 외부의 인정은 필요 없어요
0    상대에게 바라는 기대는 자신을 슬프게 해요
0    베풀되 보답을 바라지 마세요
0    기쁜 마음으로 베풀고 보답을 바라지 마세요
0    의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요
0    자신의 감정을 주변 사람들에게 터놓고 이야기해보세요
0    대중교통을 이용해주세요
0    각자가 생각하는 기본이 다를 수도 있어요
0    각자가 생각하는 기본이 다를 수도 있어요
0    좋은 일 하셨네요
0    좋은 일 하셨네요
0    내일은 오늘보다 나을 거예요
0    정색 한번 해주세요
0    걷다보면 조금 정리가 될 거예요
0    저랑 함께 해요
0    저랑 함께 해요
0    신나는 음악 들어보세요
0    경쾌한 음악 들어보세요
0    왜일까요?
0    무슨 이유인지 생각해보세요
0    혼자 사는 것보다 불편하겠죠
0    다음 학기에는 학점 관리를 더 열심히 해봐요
0    혼자 사는 것보다 불편하겠죠
0    혼자 사는 것보다 불편하겠죠
0    다음 학기에는 학점 관리를 더 열심히 해봐요
0    기술을 많이 알면 도움이 되겠죠
0    꿈꾸던 여행이네요
0    꿈꾸던 여행이네요
0    답답한 상황이네요
0    답답한 상황이네요
0    좋겠어요!
0    직접 주는 게 더 좋을 것 같아요
0    직접 주는 게 더 좋을 것 같아요
0    직접 주는 게 더 좋을 것 같아요
0    좋겠네요
0    직접 주는 게 더 좋을 것 같아요
0    더 좋은 기회가 올 거예요
0    더 좋은 기회가 올 거예요
0    연예인을 준비하니 일반인보다 다 예쁘겠죠
0    연예인을 준비하니 일반인보다 다 예쁘겠죠
0    그래서 저는 못 기르고 잘라요
0    그래서 저는 못 기르고 잘라요
0    괜찮아지고 있어 다행이에요
0    크게 숨한 번 쉬어 보세요
0    크게 숨한 번 쉬어 보세요
0    미리 긴장하지 마세요
0    마음에 들면 줘보세요
0    저도 싫어요
0    잘 해보세요
0    마음에 들면 줘보세요
0    잘 해보세요
0    그래도 넘을 수 있을 거예요
0    조심하세요
0    너무 낙담하지 마세요
0    조심하세요
0    미끄러우니 조심하세요
0    건강을 위해 조금씩 드세요
0    마트 갑시다
0    맛있는 식사시간 되시길 바랄게요
0    맛있는 식사시간 되시길 바랄게요
0    맛있죠!
0    기다렸나봐요
0    조금만 기다리면 다시 전기가 들어올거예요
0    적당해요
0    스스로 단단해지세요
0    제가 드리고 싶네요
0    집안 분위기가 바뀔 거예요
0    집안 분위기가 바뀔 거예요
0    꽃 선물은 언제나 좋죠
0    꽃 선물은 언제나 좋죠
0    솜씨가 좋으시네요
0    기분 좋아 보이세요
0    기분 좋아 보이세요
0    마음의 안정을 취하기 좋은 취미네요
0    마음의 안정을 취하기 좋은 취미네요
0    벚꽃 계절이 다가왔네요
0    거꾸로 해서 드라이플라워 만들어보세요
0    거꾸로 해서 드라이플라워 만들어보세요
0    부러워요!
0    멋진 선물이네요
0    센스있는 선물이에요
0    부러워요!
0    센스있는 선물이에요
0    멋진 선물이네요
0    받는 사람이 부럽네요
0    받는 사람이 부럽네요
0    제가 드리고 싶네요
0    저도 즐거워요
0    차근차근 이뤄보아요
0    차근차근 이뤄보아요
0    요즘 예민한가봐요
0    많으면 많을 수록 좋죠
0    더 많아도 괜찮아요
0    거창하지 않아도 돼요
0    현실을 꿈처럼 만들어봐요
0    많으면 많을 수록 좋죠
0    현실을 꿈처럼 만들어봐요
0    뜻대로 되는게 많지 않죠
0    마음이 허전하신가봐요
0    잘 해결되길 바라요
0    잘 해결되길 바라요
0    자신을 더 사랑해주세요
0    아니길 바라요
0    잘 아시네요
0    애정표현일 지도 몰라요
0    얼굴에 다 티가 나네요
0    네이제 잘 해낼 차례예요
0    좋은 결과 있을 거예요
0    괜찮은 사람이에요
0    학점 관리하세요
0    바람 좀 쐬고 오시면 좋은텐데
0    밥 사줄 친구를 찾아 보세요~
0    짐 빼놓지 말고 싸세요
0    식단조절도 하고 꾸준히 운동하세요
0    충분히 아름다워요
0    꼼꼼한 거예요
0    노트북은 비싸요
0    절대 그렇지 않아요
0    저도 궁금하네요
0    확인해달라고 해보세요
0    시도해봐도 좋겠죠
0    사람들이 몰라줘도 알아주는 사람이 있을 거예요
0    너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요
0    너무 신경쓰지 말고 그러든지 하고 아무렇지도 않게 넘겨보세요
0    상대에게 바라는 기대는 자신을 슬프게 해요
0    곰곰히 되짚어보세요
0    즐겁게 속아주세요
0    자책하지 마세요
0    자책하지 마세요
0    안녕히 주무세요
0    당연한 거예요
0    눈치가 빠르시군요
0    그런 생각을 들게 하는 사람 상종하지 마세요
0    그런 생각을 들게 하는 사람 상종하지 마세요
0    무시하세요
0    무시하세요
0    문제는 해결하라고 있는 거죠
0    멍 때리고 있죠
0    성공을 기원합니다
0    긍정적으로 바뀔 수 있어요
0    바보는 자기한테 바보라고 하지 않아요
0    저랑 놀아요
0    아닐거예요
0    경찰에 신고하고 취할 수 있는 조취를 취해보세요
0    건강하게 운동해보세요
0    많이 사랑해요!
0    축하합니다!
0    꼬까옷 개시해보세요
0    자책하지 마세요
0    성공을 기원합니다
0    다음부터 속지 마세요
0    기분나쁘겠어요
0    친구들과 좋은 추억 만들고 오세요
0    가끔 핸드폰없이 살아보세요
0    하늘만큼 땅만큼 축하해요
0    잘 생각해보세요
0    곰곰히 되짚어보세요
0    고민하고 있으면 그럴 거예요
0    물리적 나이가 아니라 정신적 나이가 중요하니까요
0    물리적 나이가 아니라 정신적 나이가 중요하니까요
0    괜찮은 사람이에요
0    멍 때리고 있죠
0    얼굴에 다 티가 나네요
0    좋은 태도네요
0    저도 사는데요
0    자신에게 콩깍지가 씌였나봐요
0    축하드려요
0    축하해요!
0    친구들과 잘 어울려보세요
0    부모님께 도움을 청해보세요
0    다음에는 다를거예요
0    자책하지마세요
0    충분히 아름다워요
0    정신 차리세요
0    남들 눈은 신경쓰지 마세요
0    거울 앞에 비친 당신을 보세요
0    콕 집어서 물어보세요
0    그 누구도 아닌 자기 걸음을 걸으세요
0    지극히 평범하면서 지극히 특별하죠
0    졸업 축하해요
0    지금도 충분히 잘 하고 있어요
0    지금보다 더 잘 살 거예요
0    네 잘생겼어요
0    잘하고 있을 거예요
0    잘하고 있을 거예요
0    저랑 이야기 잘하고 있어요
0    잘하는 걸 아직 못 찾은 걸 수도 있어요
0    지금처럼지금보다 더 잘할 수 있을 거예요
0    그렇지 않아요
0    나 자신에 집중하세요 언제나 1순위에 자신을 두세요
0    제가 챙겨드리고 싶네요
0    많이 지쳤나봐요
0    많이 지쳤나봐요
0    아무도 없는 곳으로 여행을 떠나보세요
0    많이 지쳤나봐요
0    먼저 다가가 보세요
0    동감이에요
0    지금도 잘하고 있어요
0    제가 당신을 좋아하고 있어요
0    호의인지 호감인지 헷갈리나요?
0    저도 좋아해요
0    있어도 예뻐요
0    지금은 괜찮길 바랄게요
0    초심으로 돌아가 열심히 해보세요
0    저도 사는데요
0    제가 챙겨드리고 싶네요
0    제가 따라가려면 멀었네요
0    제가 따라가려면 멀었네요
0    운동 잘하는 사람 멋있죠
0    지금도 인정받고 있어요
0    나를 관찰하고 음식 자체에 집중하세요
0    잠깐 핸드폰을 내려두세요
0    시간을 정해보세요
0    시간을 정해보세요
0    파이팅!
0    고치고 싶다는 마음에서 시작하세요
0    얼른 끝내시길 기도할게요
0    온전히 느낄 수 있는 시간이겠네요
0    축구 볼때는 치맥이죠
0    하다보면 늘어요
0    하다보면 늘어요
0    자기개발을 해보세요
0    집에서도 할 게 많아요
0    오늘은 약간의 변화를 줘보세요
0    정색 한번 해주세요
0    절대 그렇지 않아요
0    저도 궁금하네요
0    모자라지 않아요
0    파이팅!
0    하나라도 있을 거니 열심히 찾아보세요
0    자책하지마세요
0    서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요 자신의 목소리를 들어주세요
0    사랑 받기 위해 태어났어요
0    잘해야 한다는 부담감을 버리세요
0    다양하게 경험해보세요
0    현실의 벽에 부딪혔나봐요
0    친구가 들으면 서운해 할 수도 있겠어요
0    뒤통수 맞았나봐요
0    알아봐주는 사람이 있을 거예요
0    당당히 말씀해보세요
0    다이어트 파이팅!
0    다음에는 받을 수 있을 거예요
0    근처 산에 가보세요
0    많이 벌수록 좋아요
0    제가 위로 많이 해드릴게요
0    축하드려요!
0    고민하고 있으면 그럴 거예요
0    좀 더 알아보고 하세요
0    같이 살고 싶은 사람이 있나봐요
0    커플부터 만드세요
0    잘 하실 거예요!
0    같이 가요
0    다 잘 될 거예요
0    같이 놀아요
0    지금 그러고 있어요
0    잊어버리세요
0    상대방을 이해해 주세요
0    아무 것도 안해도 괜찮아요
0    상대방에게 너무 무거운 짐을 주지 마세요
0    기다리는 동안 많은 생각이 들었겠네요
0    그럴 때마다 따끔하게 말해보세요
0    상대방도 미소짓게 해주세요
0    지금 모습도 좋아요
0    그런 친구는 거르세요
0    상종하지마세요
0    질질 끌지 마세요
0    애정표현일 지도 몰라요
0    누군가를 기다린다는게 쉬운게 아니죠
0    살다보면 하고 싶은 게 생길 수도 있어요
0    제가 있잖아요
0    스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요
0    친구를 사귈 수 있을 거예요
0    다른 사람도 그 사람만의 고민과 걱정이 많을거예요
0    그 사람도 설렐 거예요
0    그 사람도 설렐 거예요
0    제가 있잖아요
0    배우자와 대화를 나눠보세요
0    얼른 끝내시길 기도할게요
0    스스로 단단해지세요
0    그 말을 한 사람이 가장 이상할 거예요
0    그 말을 한 사람이 가장 이상할 거예요
0    일 분배를 다시 요청해보세요
0    발전이 없다고 너무 두려워하지 마세요
0    제자리여도 괜찮아요
0    다음에는 꼭 진급할 거예요
0    뒤통수 맞았나봐요
0    그런 친구는 거르세요
0    누구나 힘들어요
0    자신과 대화하는 시간이 필요하죠
0    자신과 대화하는 시간이 필요하죠
0    남들이 당신을 볼 때도 그렇게 생각할수있어요
0    꿈은 현실이랑 반대예요
0    전형적인 꼰대 스타일이네요
0    전형적인 꼰대 스타일이네요
0    나이는 숫자일 뿐이예요
0    건강은 어려서부터 챙겨야해요
0    세상 걱정 혼자 다 해서 그래요
0    아름다운 나이테예요
0    진짜 하고 싶은 걸 찾아보세요
0    진짜 하고 싶은 걸 찾아보세요
0    천천히 준비해보세요
0    믿음이 가장 중요하죠
0    선의의 거짓말이길 바라요
0    깨끗이 씻어보고 섬유유연제나 바디워시바디로션
0    킁킁
0    기대치가 높나봅니다
0    문제는 해결하라고 있는 거죠
0    이야기를 하지 않고 결정했나봐요
0    이야기를 하지 않고 결정했나봐요
0    킁킁
0    기대되겠네요
0    제 행운까지 모두 드리고 싶네요
0    오는 말이 고와야 가는 말도 곱다고 말해주세요
0    다른 사람도 그럴 거예요
0    믿음이 가장 중요하죠
0    가을이네요
0    가을이네요
0    도전해 봐도 좋을 거 같아요
0    도전해 봐도 좋을 거 같아요
0    한 번 빠지면 헤어나올 수 없다고 해요
0    같이해보세요
0    한 번 빠지면 헤어나올 수 없다고 해요
0    잘 아시네요
0    중요한 건 노력하는 과정이에요
0    그런 생각은 버리세요
0    지금처럼만 하세요
0    모자라지 않아요
0    다 잘 될 거예요
0    그런 생각은 버리세요
0    제가 더 천재예요
0    따뜻하게 사세요!
0    보일러가 난방으로 작동이 되는지 보세요
0    보일러가 난방으로 작동이 되는지 보세요
0    기다리는 동안 많은 생각이 들었겠네요
0    미스트나 가습기젖은 수건 등을 사용해보세요
0    따뜻하게 입으세요
0    따뜻해졌죠
0    하늘 보고 한 번 웃어봐요 기분이 바뀔 거예요
0    나들이 가보세요
0    하늘을 보고 웃어보세요
0    따뜻해졌죠
0    제습기를 돌려보세요
0    집밖에 나가기가 힘들것 같아요
0    집밖에 나가기가 힘들것 같아요
0    시원한 물이라도 한 잔 드세요~
0    오래 살면 가능할 거 같아요
0    화를 참는 연습을 해보세요
0    남보다 하나씩 더 하면 돼요
0    남들 눈은 신경쓰지 마세요
0    남들 눈은 신경쓰지 마세요
0    휴가가 간절하겠네요
0    성격이 그럴 수도 있으니 이해해주세요
0    해주고 티를 팍팍 내세요
0    속 쓰리겠어요
0    누구나 몰려가는 줄에 설 필요는 없어요
0    소개팅 시켜달라고 말해보세요
0    소개팅 시켜달라고 말해보세요
0    고마운 마음을 전해 주세요
0    적당히 하면 괜찮을거 같아요
0    같이해보세요
0    적당히 하면 괜찮을거 같아요
0    남자도 좋은것만은 아니예요
0    남자도 좋은것만은 아니예요
0    아직 모르겠어요 인공지능에 성별을 만드는 사람이 되어 주세요
0    마음을 열 때까지 설득해보세요
0    운동을 함께 해보세요
0    평소에 필요한 것 생각해보세요
0    평소에 필요했던 게 좋을 것 같아요
0    전생에 나라를 구하셨나요
0    결단은 빠를수록 좋아요
0    거짓말 적당히 하세요
0    너무 집착하지 마세요
0    운동을 함께 해보세요
0    전생에 나라를 구하셨나요
0    고마운 마음을 전해 주세요
0    아무래도 좀 깨요
0    바쁠때 힘이 되어 주세요
0    바쁠때 힘이 되어 주세요
0    그래도 구박하지는 마세요
0    그래도 구박하지는 마세요
0    너무 집착하지 마세요
0    귀엽겠네요
0    순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요
0    거짓말 적당히 하세요
0    당신이 해보세요
0    당신이 해보세요
0    사람 고쳐쓰는 거 아니에요
0    더 잔소리해보세요
0    더 잔소리해보세요
0    다른 연락을 많이 하거나 더 자주 만나세요
0    다른 연락을 많이 하거나 더 자주 만나세요
0    순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요
0    원하는 사람이 있는 장소에 가보세요
0    의미있는 일이네요
0    종교의 자유를 인정해주세요
0    종교의 자유를 인정해주세요
0    결단은 빠를수록 좋아요
0    신경쓰지 마세요
0    연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요
0    네 알려 주세요!
0    평소에 필요한 것 생각해보세요
0    평소에 필요했던 게 좋을 것 같아요
0    원하는 사람이 있는 장소에 가보세요
0    신경쓰고 싶지 않은 사람도 있어요
0    신경쓰고 싶지 않은 사람도 있어요
0    신경쓰지 마세요
0    사람 고쳐쓰는 거 아니에요
0    마음을 열 때까지 설득해보세요
0    돕는 게 아니라 같이 하는 거예요
0    이상적인 남편이네요
0    왜 늦는 건지 대화해보세요
0    처음 만났을 때를 떠올려 보세요
0    공동육아가 기본인데요
0    힘 빠지는 이야기네요
0    공동육아가 기본인데요
0    힘 빠지는 이야기네요
0    잘 분담해보세요
0    잘 분담해보세요
0    이상적인 남편이네요
0    처음 만났을 때를 떠올려 보세요
0    돕는 게 아니라 같이 하는 거예요
0    사회생활을 이해해주세요
0    사회생활을 이해해주세요
0    낭만적인 거 좋아하시는구나!
0    낭만적인 거 좋아하시는구나!
0    낭만적인 거 좋아하시는구나!
0    네 알려 주세요!
0    어머어머 궁금하네요
0    자신의 잠재력을 믿어보세요
0    말을 해야 알거예요
0    말을 해야 알거예요
0    그러면 못할 게 없겠네요
0    고민만 한다는 것 아닐까요
0    고민만 한다는 것 아닐까요
0    바로 옆에 있을수도 있어요
0    바로 옆에 있을수도 있어요
0    처음 배우는게 중요해요
0    누구나 몰려가는 줄에 설 필요는 없어요
0    그걸 깨닫다니 대단하시군요
0    꼼꼼한 거예요
0    새로운 스타일 도전해 보시면 어때요?
0    새로운 스타일 도전해 보시면 어때요?
0    동감이에요
0    포커페이스를 유지해보세요
0    어머어머 궁금하네요
0    자신감을 가져도 돼요
0    자신의 능력이 저평가되어있는 건 아닌지 확인해보세요
0    스스로도 존중해주세요
0    스스로도 존중해주세요
0    가장 중요한 거예요
0    가장 중요한 거예요
0    확인해달라고 해보세요
0    정답을 찾아야할 필요는 없어요
0    꽃길만 걷길 바랍니다
0    멋진 말이에요
